;cvm;codigo;cvm2;ano;1;1.01.01;1.01.02;1.02.01.01;1.02.01.02;1.02.01.03;2.01.04;2.01.02;2.02.01;3.05;open;close
193;11312;OIBR11;11312;2015;97.014.806;14.898.063;1.801.720;125.966;;;11.809.598;5.004.833;48.047.819;2.702.396;;
194;11312;OIBR11;11312;2016;82.171.198;7.563.251;116.532;169.473;;;48.086.287;6.360.629;0;60.055;;
195;11312;OIBR11;11312;2017;68.639.036;6.862.684;21.447;114.839;;;54.515.233;7.627.169;0;-2.361.028;;
196;11312;OIBR11;11312;2018;65.437.797;4.385.329;201.975;36.987;;;672.894;5.225.862;15.777.012;-5.268.258;;
197;11398;CRPG3;11398;2010;463.362;6.600;39;;;;6.816;24.204;;-24.906;;
198;11398;CRPG3;11398;2011;499.844;4.273;14.611;;;;12.972;17.228;253;45.631;;
199;11398;CRPG3;11398;2012;608.513;11.942;51.157;;;;17.248;53.823;8;68.452;;
200;11398;CRPG3;11398;2013;559.648;3.165;25.208;;;;3.550;10.630;0;11.490;;
201;11398;CRPG3;11398;2014;521.495;3.787;19.017;;;22.238;39.250;12.611;962;-22.363;;
202;11398;CRPG3;11398;2015;562.292;9.699;37.741;;;0;88.780;12.060;787;-6.435;;
203;11398;CRPG3;11398;2016;644.348;1.738;82.537;5.413;;0;50.443;22.555;182;47.856;;
204;11398;CRPG5;11398;2010;463.362;6.600;39;;;;6.816;24.204;;-24.906;;
205;11398;CRPG5;11398;2011;499.844;4.273;14.611;;;;12.972;17.228;253;45.631;;
206;11398;CRPG5;11398;2012;608.513;11.942;51.157;;;;17.248;53.823;8;68.452;;
207;11398;CRPG5;11398;2013;559.648;3.165;25.208;;;;3.550;10.630;0;11.490;;
208;11398;CRPG5;11398;2014;521.495;3.787;19.017;;;22.238;39.250;12.611;962;-22.363;19,64;7,00
209;11398;CRPG5;11398;2015;562.292;9.699;37.741;;;0;88.780;12.060;787;-6.435;7,00;3,80
210;11398;CRPG5;11398;2016;644.348;1.738;82.537;5.413;;0;50.443;22.555;182;47.856;3,30;5,99
211;11398;CRPG6;11398;2010;463.362;6.600;39;;;;6.816;24.204;;-24.906;;
212;11398;CRPG6;11398;2011;499.844;4.273;14.611;;;;12.972;17.228;253;45.631;;
213;11398;CRPG6;11398;2012;608.513;11.942;51.157;;;;17.248;53.823;8;68.452;;
214;11398;CRPG6;11398;2013;559.648;3.165;25.208;;;;3.550;10.630;0;11.490;;
215;11398;CRPG6;11398;2014;521.495;3.787;19.017;;;22.238;39.250;12.611;962;-22.363;20,62;9,00
216;11398;CRPG6;11398;2015;562.292;9.699;37.741;;;0;88.780;12.060;787;-6.435;6,00;3,78
